order_id	product_id	customer_id	price	quantity	discount_amount	tax_amount	order_total	shipping_date	order_date	checkout_started_at	payment_method_entered_at	payment_attempted_at	payment_authorized_at	payment_captured_at	payment_stage	payment_status	payment_method	payment_attempts	requires_3ds_authentication	authentication_success	gateway_response	decline_reason	fraud_score	fraud_flag	transaction_fee	net_revenue	checkout_device	traffic_source	customer_segment	region	merchant_industry	currency
2251441803	855544	95251574	106.41	1	0	8.81	115.22		2/14/2025	2/14/2025 13:00	2/14/2025 13:11	2/14/2025 13:02			payment_attempted	Failed	Card	3	0	1	bank_rejected	Expired card	22.4	0	0	0	Tablet	Paid Search	Mid-Market	Midwest	Nonprofit	USD
7872134014	431332	37953139	472.36	1	0	40.88	513.24	9/3/2024	9/3/2024	9/3/2024 2:12	9/3/2024 2:22	9/3/2024 2:26	9/3/2024 2:37	9/3/2024 2:17	payment_captured	Paid	Card	1	0	1	approved	None	19.2	0	15.18	498.06	Desktop	Direct	SMB	International	Retail	USD
2306224440	122870	79391981	98.04	1	0	4.19	102.23	9/13/2024	9/6/2024	9/6/2024 1:59	9/6/2024 2:09	9/6/2024 2:03	9/6/2024 2:07	9/6/2024 2:28	payment_captured	Refunded	Digital Wallet	1	0	1	refunded	None	21.6	0	2.96	99.27	Mobile	Email Campaign	SMB	Northeast	Professional Services	USD
8161634880	122870	77005693	96.23	1	0	3.03	99.26	4/13/2024	4/8/2024	4/8/2024 12:29	4/8/2024 12:32	4/8/2024 12:40	4/8/2024 12:47	4/8/2024 12:41	payment_captured	Refunded	Card	1	1	1	refunded	None	3.1	0	3.18	96.08	Desktop	Social	SMB	Southwest	Professional Services	USD
6663928794	824839	71660710	218.73	1	0	13.49	232.22	5/29/2024	5/29/2024	5/29/2024 5:04	5/29/2024 5:07	5/29/2024 5:24	5/29/2024 5:24	5/29/2024 5:23	payment_captured	Paid	Digital Wallet	1	1	1	approved	None	46.8	0	6.34	225.88	Desktop	Organic Search	Startup	West	Wholesale	USD
4893868135	596794	23833923	237.71	1	23.77	14.17	228.11		4/7/2024	4/7/2024 7:11	4/7/2024 7:15				payment_method_entered	Abandoned	ACH	1	0		customer_abandoned	Customer abandoned checkout	24	0	0	0	Desktop	Paid Search	Mid-Market	Southeast	Travel	USD
5764816621	671127	37497527	124.02	2	0	4.85	252.89	4/30/2024	4/30/2024	4/30/2024 6:56	4/30/2024 7:01	4/30/2024 7:01	4/30/2024 7:19	4/30/2024 7:04	payment_captured	Paid	Card	2	0	1	approved	None	21.4	0	7.63	245.26	Tablet	Social	SMB	Northeast	Retail	USD
4358365792	855544	65320264	110.59	1	11.06	7.38	106.91	3/21/2025	3/20/2025	3/20/2025 0:25	3/20/2025 0:29	3/20/2025 0:35	3/20/2025 0:35	3/20/2025 0:35	payment_captured	Paid	ACH	2	0	1	approved	None	30.4	0	0.96	105.95	Mobile	Direct	Mid-Market	Northeast	Professional Services	USD
9016377405	164295	86282050	285.83	2	0	9.86	581.52		6/7/2024	6/7/2024 21:24	6/7/2024 21:30	6/7/2024 21:42			payment_attempted	Failed	Bank Transfer	2	1	1	card_declined	3DS authentication failed	15.1	0	0	0	Desktop	Organic Search	SMB	West	Wholesale	USD
9523753939	122870	53578852	73.51	1	0	6.05	79.56	4/25/2024	4/23/2024	4/23/2024 2:00	4/23/2024 2:08	4/23/2024 2:19	4/23/2024 2:17	4/23/2024 2:19	payment_captured	Paid	Card	1	0	1	approved	None	31.9	0	2.61	76.95	Mobile	Paid Search	Startup	Midwest	Retail	USD
6742105510	824839	61918008	251.19	1	0	21.26	272.45	4/3/2025	3/31/2025	3/31/2025 10:26	3/31/2025 10:28	3/31/2025 10:29	3/31/2025 10:51	3/31/2025 10:43	payment_captured	Paid	Digital Wallet	1	1	0	approved	None	6.4	0	7.38	265.07	Desktop	Organic Search	SMB	Northeast	Restaurants	USD
7348239623	855544	68484913	99.84	1	19.97	6.61	86.48		12/25/2024	12/25/2024 9:40					checkout_started	Abandoned	Digital Wallet	1	0		customer_abandoned	Session timeout	38	0	0	0	Desktop	Direct	Mid-Market	Northeast	Restaurants	USD
6996683135	605001	52438272	193.94	1	0	10.1	204.04		1/20/2025	1/20/2025 21:39	1/20/2025 21:50				payment_method_entered	Abandoned	Wire	1	0		customer_abandoned	Customer abandoned checkout	20.8	0	0	0	Desktop	Direct	Mid-Market	Northeast	Retail	USD
9593451036	824839	97563113	258.02	1	0	10.79	268.81	8/10/2024	8/10/2024	8/10/2024 18:38	8/10/2024 18:50	8/10/2024 18:56	8/10/2024 18:42	8/10/2024 18:48	payment_captured	Paid	Bank Transfer	1	0	1	approved	None	2.9	0	3.33	265.48	Desktop	Direct	Mid-Market	West	Professional Services	USD
5212286935	836810	97888396	71.95	1	0	4.7	76.65	8/10/2024	8/8/2024	8/8/2024 10:08	8/8/2024 10:19	8/8/2024 10:26	8/8/2024 10:16	8/8/2024 10:15	payment_captured	Paid	ACH	1	0	0	approved	None	5.3	0	0.71	75.94	Desktop	Social	Startup	Southeast	Wholesale	USD
9567148828	836810	35710621	84.1	2	0	14.24	182.44	9/27/2024	9/20/2024	9/20/2024 8:54	9/20/2024 9:00	9/20/2024 9:01	9/20/2024 9:16	9/20/2024 9:04	payment_captured	Chargeback	Card	2	0	1	chargeback_lost	None	9.7	1	5.59	176.85	Desktop	Direct	SMB	Midwest	Restaurants	USD
2364069834	122870	77919610	78.03	1	0	3.75	81.78	12/10/2024	12/9/2024	12/9/2024 10:18	12/9/2024 10:19	12/9/2024 10:23	12/9/2024 10:43	12/9/2024 10:44	payment_captured	Paid	Card	1	0	1	approved	None	35.2	0	2.67	79.11	Desktop	Organic Search	Enterprise	Southwest	Retail	USD
9777384247	596794	81022393	231.37	1	0	9.46	240.83		5/23/2024	5/23/2024 19:05	5/23/2024 19:17	5/23/2024 19:16			payment_attempted	Failed	Digital Wallet	3	1	0	bank_rejected	3DS authentication failed	44	0	0	0	Mobile	Paid Search	SMB	Southeast	SaaS	USD
4377995857	671127	40874008	125.9	1	0	8.7	134.6	3/19/2024	3/19/2024	3/19/2024 5:03	3/19/2024 5:10	3/19/2024 5:10	3/19/2024 5:20	3/19/2024 5:07	payment_captured	Paid	ACH	1	0	1	approved	None	10.3	0	1.18	133.42	Desktop	Direct	Mid-Market	West	Healthcare	USD
